거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20200102","금시장","KRD040200002","금 현물 99.99_1Kg","1000","50","2834000","0","0"
"20200102","금시장","KRD040200002","금 현물 99.99_1Kg","4000","4665","264810960","1505","85377560"
"20200102","금시장","KRD040200002","금 현물 99.99_1Kg","7100","18140","1029989700","0","0"
"20200102","금시장","KRD040200002","금 현물 99.99_1Kg","8000","17173","974909920","38503","2186032020"
"20200102","금시장","KRD040200002","금 현물 99.99_1Kg","9001","0","0","20","1135000"
"20200102","금시장","KRD040201000","미니금 현물 99.99_100g","1000","378","21539610","0","0"
"20200102","금시장","KRD040201000","미니금 현물 99.99_100g","4000","258","14681990","949","54034500"
"20200102","금시장","KRD040201000","미니금 현물 99.99_100g","7100","1158","65970080","176","10024960"
"20200102","금시장","KRD040201000","미니금 현물 99.99_100g","8000","421","23990380","1090","62122600"
"20200103","금시장","KRD040200002","금 현물 99.99_1Kg","1000","18","1029960","22101","1269924590"
"20200103","금시장","KRD040200002","금 현물 99.99_1Kg","4000","1843","106468930","1047","59961750"
"20200103","금시장","KRD040200002","금 현물 99.99_1Kg","7100","9338","535006660","9044","521409310"
"20200103","금시장","KRD040200002","금 현물 99.99_1Kg","8000","52047","2996383970","31054","1787593870"
"20200103","금시장","KRD040201000","미니금 현물 99.99_100g","1000","349","20056420","464","26741950"
"20200103","금시장","KRD040201000","미니금 현물 99.99_100g","4000","159","9117470","1677","96146190"
"20200103","금시장","KRD040201000","미니금 현물 99.99_100g","7100","1885","108111300","0","0"
"20200103","금시장","KRD040201000","미니금 현물 99.99_100g","8000","723","41759680","975","56156730"
"20200106","금시장","KRD040200002","금 현물 99.99_1Kg","1000","0","0","80945","4779361360"
"20200106","금시장","KRD040200002","금 현물 99.99_1Kg","4000","3941","233479400","7595","448103180"
"20200106","금시장","KRD040200002","금 현물 99.99_1Kg","7100","5752","340416640","34084","2017595660"
"20200106","금시장","KRD040200002","금 현물 99.99_1Kg","8000","168018","9930213860","55116","3260746380"
"20200106","금시장","KRD040200002","금 현물 99.99_1Kg","9001","116","6847200","87","5150520"
"20200106","금시장","KRD040201000","미니금 현물 99.99_100g","1000","921","54661520","4604","273282020"
"20200106","금시장","KRD040201000","미니금 현물 99.99_100g","4000","379","22503610","177","10501410"
"20200106","금시장","KRD040201000","미니금 현물 99.99_100g","7100","680","40397920","2941","174606350"
"20200106","금시장","KRD040201000","미니금 현물 99.99_100g","8000","8369","496816710","2627","155989980"
"20200107","금시장","KRD040200002","금 현물 99.99_1Kg","1000","15574","912856220","12892","756411200"
"20200107","금시장","KRD040200002","금 현물 99.99_1Kg","4000","2916","170835490","1724","101070020"
"20200107","금시장","KRD040200002","금 현물 99.99_1Kg","7100","17227","1009593890","15282","895475560"
"20200107","금시장","KRD040200002","금 현물 99.99_1Kg","8000","60286","3535034880","66280","3885592950"
"20200107","금시장","KRD040200002","금 현물 99.99_1Kg","9001","200","11692000","25","1462750"
"20200107","금시장","KRD040201000","미니금 현물 99.99_100g","1000","65","3824170","7258","424647700"
"20200107","금시장","KRD040201000","미니금 현물 99.99_100g","4000","8227","481870050","2668","157564140"
"20200107","금시장","KRD040201000","미니금 현물 99.99_100g","7100","1893","111798450","661","38723410"
"20200107","금시장","KRD040201000","미니금 현물 99.99_100g","8000","1153","67574240","751","44131660"
"20200108","금시장","KRD040200002","금 현물 99.99_1Kg","1000","7089","425226940","66784","4028263360"
"20200108","금시장","KRD040200002","금 현물 99.99_1Kg","4000","9389","565432250","727","43952440"
"20200108","금시장","KRD040200002","금 현물 99.99_1Kg","7100","26817","1609900010","106910","6426012520"
"20200108","금시장","KRD040200002","금 현물 99.99_1Kg","8000","221611","13339747890","90482","5441894730"
"20200108","금시장","KRD040200002","금 현물 99.99_1Kg","9001","32","1922560","35","2106600"
"20200108","금시장","KRD040201000","미니금 현물 99.99_100g","1000","59","3557900","3701","222797090"
"20200108","금시장","KRD040201000","미니금 현물 99.99_100g","4000","2504","150656710","674","41097400"
"20200108","금시장","KRD040201000","미니금 현물 99.99_100g","7100","168","10115940","2366","142748420"
"20200108","금시장","KRD040201000","미니금 현물 99.99_100g","8000","4980","300824010","970","58511650"
"20200109","금시장","KRD040200002","금 현물 99.99_1Kg","1000","3926","228841210","3290","191212820"
"20200109","금시장","KRD040200002","금 현물 99.99_1Kg","4000","3904","226877050","2376","138500160"
"20200109","금시장","KRD040200002","금 현물 99.99_1Kg","7100","13796","803716850","15907","926492110"
"20200109","금시장","KRD040200002","금 현물 99.99_1Kg","8000","82635","4811546510","79970","4656173050"
