거래일자,시장구분명,종목코드,종목명,시가,고가,저가,종가,거래량,거래대금
"20200302","배출권시장","KRD050021900","배출권19","39350","39350","39350","39350","3000","118050000"
"20200302","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200302","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200302","배출권시장","KRD052000001","외부사업 감축량","0","0","0","39500","0","0"
"20200302","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200302","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200303","배출권시장","KRD050021900","배출권19","39500","39500","39500","39500","10000","395000000"
"20200303","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200303","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200303","배출권시장","KRD052000001","외부사업 감축량","39500","39700","39500","39700","21900","868050000"
"20200303","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200303","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200304","배출권시장","KRD050021900","배출권19","39750","40100","39700","40100","9000","359350000"
"20200304","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200304","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200304","배출권시장","KRD052000001","외부사업 감축량","40100","40100","40100","40100","5000","200500000"
"20200304","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200304","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200305","배출권시장","KRD050021900","배출권19","39550","39600","39550","39600","10800","427330000"
"20200305","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200305","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200305","배출권시장","KRD052000001","외부사업 감축량","0","0","0","40100","0","0"
"20200305","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200305","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200306","배출권시장","KRD050021900","배출권19","0","0","0","39800","0","0"
"20200306","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200306","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200306","배출권시장","KRD052000001","외부사업 감축량","0","0","0","40100","0","0"
"20200306","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200306","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200309","배출권시장","KRD050021900","배출권19","39800","39800","39800","39800","1500","59700000"
"20200309","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200309","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200309","배출권시장","KRD052000001","외부사업 감축량","0","0","0","40100","0","0"
"20200309","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
"20200309","배출권시장","KRD054000009","국외 외부사업 감축량","0","0","0","37600","0","0"
"20200310","배출권시장","KRD050021900","배출권19","40100","40100","39800","39800","6500","260200000"
"20200310","배출권시장","KRD050022007","배출권20","0","0","0","39000","0","0"
"20200310","배출권시장","KRD051021909","상쇄배출권19","0","0","0","31850","0","0"
"20200310","배출권시장","KRD052000001","외부사업 감축량","40100","40100","40100","40100","5000","200500000"
"20200310","배출권시장","KRD053021907","국외상쇄배출권19","0","0","0","31850","0","0"
