거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20200203","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200204","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200204","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200204","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200205","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200205","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200205","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200206","배출권시장","KRD050021900","2019년 배출권","7100","10000","372750000","10000","372750000"
"20200206","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200206","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200207","배출권시장","KRD050021900","2019년 배출권","7100","6000","223500000","6000","223500000"
"20200207","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200207","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200210","배출권시장","KRD050021900","2019년 배출권","7100","4500","174150000","4500","174150000"
"20200210","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200210","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200211","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200211","배출권시장","KRD050022007","2020년 배출권","7100","26050","1002925000","26050","1002925000"
"20200212","배출권시장","KRD050021900","2019년 배출권","7100","111000","4346200000","111000","4346200000"
"20200212","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200212","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200213","배출권시장","KRD050021900","2019년 배출권","7100","1500","58200000","1500","58200000"
"20200213","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200213","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200214","배출권시장","KRD050021900","2019년 배출권","7100","1500","58200000","1500","58200000"
"20200214","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200214","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200214","배출권시장","KRD054000009","국외 외부사업 온실가스 감축량","7100","0","0","0","0"
"20200217","배출권시장","KRD050021900","2019년 배출권","7100","18000","699050000","18000","699050000"
"20200217","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200217","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200217","배출권시장","KRD054000009","국외 외부사업 온실가스 감축량","7100","0","0","0","0"
"20200218","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200218","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200218","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200218","배출권시장","KRD054000009","국외 외부사업 온실가스 감축량","7100","0","0","0","0"
"20200219","배출권시장","KRD050021900","2019년 배출권","7100","22000","864450000","22000","864450000"
"20200219","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200219","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200220","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200220","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200220","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200221","배출권시장","KRD050021900","2019년 배출권","7100","0","0","0","0"
"20200221","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200221","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200224","배출권시장","KRD050021900","2019년 배출권","7100","1500","58950000","1500","58950000"
"20200224","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200224","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200225","배출권시장","KRD050021900","2019년 배출권","7100","12000","478000000","12000","478000000"
"20200225","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200225","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200226","배출권시장","KRD050021900","2019년 배출권","7100","4000","157400000","4000","157400000"
"20200226","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200227","배출권시장","KRD050021900","2019년 배출권","7100","29250","1156167500","29250","1156167500"
"20200227","배출권시장","KRD050022007","2020년 배출권","7100","0","0","0","0"
"20200227","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20200228","배출권시장","KRD050021900","2019년 배출권","7100","15500","611825000","15500","611825000"
"20200228","배출권시장","KRD050022007","2020년 배출권","7100","130000","5005000000","130000","5005000000"
"20200228","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
