거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20220302","석유시장","KRD040104618","휘-자가상표-목포(보)","A0003","280000","463400000","0","0"
"20220302","석유시장","KRD040104618","휘-자가상표-목포(보)","B0004","0","0","280000","463400000"
"20220302","석유시장","KRD040114617","경-자가상표-목포(보)","A0003","580000","881600000","0","0"
"20220302","석유시장","KRD040114617","경-자가상표-목포(보)","B0004","0","0","580000","881600000"
"20220302","석유시장","KRD040124616","등-자가상표-목포(보)","A0003","400000","446000000","0","0"
"20220302","석유시장","KRD040124616","등-자가상표-목포(보)","B0004","0","0","400000","446000000"
"20220303","석유시장","KRD040104121","휘-자가상표-대전","A0002","100000","163000000","0","0"
"20220303","석유시장","KRD040104121","휘-자가상표-대전","C0016","0","0","100000","163000000"
"20220303","석유시장","KRD040104154","휘-자가상표-천안","A0002","40000","65200000","0","0"
"20220303","석유시장","KRD040104154","휘-자가상표-천안","C0016","0","0","40000","65200000"
"20220303","석유시장","KRD040104220","휘-자가상표-여수(보)","A0003","400000","662000000","0","0"
"20220303","석유시장","KRD040104220","휘-자가상표-여수(보)","B0004","0","0","400000","662000000"
"20220303","석유시장","KRD040104550","휘-자가상표-성남","A0002","60000","97800000","0","0"
"20220303","석유시장","KRD040104550","휘-자가상표-성남","C0016","0","0","60000","97800000"
"20220303","석유시장","KRD040104568","휘-자가상표-인천","A0002","240000","391200000","0","0"
"20220303","석유시장","KRD040104568","휘-자가상표-인천","C0016","0","0","240000","391200000"
"20220303","석유시장","KRD040104642","휘-자가상표-성남(보)","A0003","84000","139020000","0","0"
"20220303","석유시장","KRD040104642","휘-자가상표-성남(보)","C0008","0","0","84000","139020000"
"20220303","석유시장","KRD040114120","경-자가상표-대전","A0002","80000","120000000","0","0"
"20220303","석유시장","KRD040114120","경-자가상표-대전","C0016","0","0","80000","120000000"
"20220303","석유시장","KRD040114153","경-자가상표-천안","A0002","100000","150000000","0","0"
"20220303","석유시장","KRD040114153","경-자가상표-천안","C0016","0","0","100000","150000000"
"20220303","석유시장","KRD040114187","경-자가상표-군산","A0002","100000","150000000","0","0"
"20220303","석유시장","KRD040114187","경-자가상표-군산","C0016","0","0","100000","150000000"
"20220303","석유시장","KRD040114229","경-자가상표-여수(보)","A0003","940000","1428800000","0","0"
"20220303","석유시장","KRD040114229","경-자가상표-여수(보)","B0004","0","0","940000","1428800000"
"20220303","석유시장","KRD040114328","경-자가상표-울산(보)","A0002","60000","90000000","0","0"
"20220303","석유시장","KRD040114328","경-자가상표-울산(보)","C0016","0","0","60000","90000000"
"20220303","석유시장","KRD040114559","경-자가상표-성남","A0002","340000","510000000","0","0"
"20220303","석유시장","KRD040114559","경-자가상표-성남","C0016","0","0","340000","510000000"
"20220303","석유시장","KRD040114567","경-자가상표-인천","A0002","440000","660000000","0","0"
"20220303","석유시장","KRD040114567","경-자가상표-인천","C0016","0","0","440000","660000000"
"20220303","석유시장","KRD040114641","경-자가상표-성남(보)","A0003","112000","170240000","0","0"
"20220303","석유시장","KRD040114641","경-자가상표-성남(보)","C0008","0","0","112000","170240000"
"20220303","석유시장","KRD040124046","등-자가상표-성남","A0002","60000","63000000","0","0"
"20220303","석유시장","KRD040124046","등-자가상표-성남","C0016","0","0","60000","63000000"
"20220303","석유시장","KRD040124228","등-자가상표-여수(보)","A0003","300000","334500000","0","0"
"20220303","석유시장","KRD040124228","등-자가상표-여수(보)","B0004","0","0","300000","334500000"
"20220303","석유시장","KRD040124566","등-자가상표-인천","A0002","60000","63000000","0","0"
"20220303","석유시장","KRD040124566","등-자가상표-인천","C0016","0","0","60000","63000000"
"20220304","석유시장","KRD040104220","휘-자가상표-여수(보)","A0003","660000","1092300000","0","0"
"20220304","석유시장","KRD040104220","휘-자가상표-여수(보)","B0004","0","0","660000","1092300000"
"20220304","석유시장","KRD040104642","휘-자가상표-성남(보)","A0003","300000","496500000","0","0"
